004933203 581   H ברטונוב, דבורה ושביט, דן. מאחורי הקלעים של הנפש, בני ברק: הקיבוץ המאוחד, 2005
004933203 581   H ברטונוב, דבורה. ריקוד אלי אדמה: מסע-לימוד לגאנה בסיוע מלגה מאונסקו, תל-אביב: דבר, 1964
004933203 581   H ברטונוב, דבורה, מסע אל עולם הריקוד: על הריקוד כאמנות וכביטוי לאדם ולעם: בעקבות הרצאות באוניברסיטת חיפה, תל אביב: רשפים, 1982
004933203 581   H ברטונוב, דבורה, ריקוד על פי צו הרוח: בין פארפסיכולוגיה ואמנות: חווייה וניתוחה, תל אביב: רשפים, 1981
004933203 581   H ברטונוב, דבורה, ריקוד אלי אופקים: מסע בהודו, תל אביב: רשפים, 1973
004933203 581   H ברטונוב, דבורה, מבין הקלעים: קובץ מאמרים ורשימות על אודות אמנויות הבמה: מוקדש לזכרו של שלמה ברטונוב, חולון: דבורה ברטונוב, 1979
004933203 581   L 
004933203 581   L 
004914460 581   H אשל, רות. לרקוד עם החלום: ראשית המחול האמנותי בארץ-ישראל 1964-1920, תל אביב: ספריית פועלים, 1991
004914460 581   H גלוק, רינה. להקת המחול בת-שבע 1980-1964: סיפור אישי רחל אהרוני (מתרגמת), ירושלים: הוצאת כרמל, 2006
004914460 581   H מנור, גיורא. 'המחול האמנותי בישראל בשנות ה-50', בתוך: מחול בישראל, תל אביב: אגדה למחול בישראל, 1978
004914460 581   H אשל, רות. 'התמסדות וצנטרליזציה: מחול בישראל 1964-1977', בתוך: מחול עכשיו (6), 2001
004914460 581   H גרבר, יוסי. 'בשיחה עם נעמי אלסקובסקי', בתוך: מחול בישראל, תל אביב: אגדה למחול בישראל, 1978 
004914460 581   H רוטנברג, הניה. 'מאה שנה להולדתה של אנה סוקולוב – הפרק הישראלי', בתוך: מחול עכשיו. תל-אביב : חבצלת מוסדות תרבות וחינוך של השומר הצעיר (17), 2010
004914460 581   H אשל, רות. 'חלום ומציאות-הבלט הישראלי'. בתוך: מחול בישראל. תל אביב: אגדה למחול בישראל (7), 1995. 
004914460 581   L 
004924681 581   H רונן, דן. ריקודי-עם בישראל, ירושלים: כרמל, 2011
004924681 581   H שרת, רנה, קומה אחא, בני ברק: הקיבוץ המאוחד, 1988
004924681 581   L 
004924681 581   L 
004924681 581   L 
004924681 581   L 
004924681 581   L 
004924681 581   L 
004925900 581   H גיורא מנור. 'מסע הפלאים של רות זיו-אייל', מחול עכשיו (4), 1994, עמ' 10-14
004925900 581   H אשל, רות. תיאטרון תנועה בישראל, עבודה לשם קבלת תואר דוקטור, אוניברסיטת ת"א (לא פורסם).
004925900 581   L 
004925900 581   L 
004925900 581   L 
004925900 581   L 
004925900 581   L 
004925900 581   L 
004915198 581   H אשל, רות ובורשטיין, זוהר.'למי מצלצל הפעמון? על האקדמיה המלכותית למחול ופעילותה בישראל, 1967 – 2012', מחול עכשיו (23), ינואר 2013, עמ' 41-35.
004915198 581   L 
004915198 581   L 
004915198 581   L 
004915198 581   L 
004915198 581   L 
004915198 581   L 
004915198 581   L 
004940073 581   H אלניר, פז. פועלם של מכוני החגים הקיבוציים ברמת יוחנן ובבית השיטה ותרומתם לתרבות העברית בשנים 1996-1954, חיבור לשם קבלת תואר דוקטור לפילוסופיה, הוגש לסנאט של אוניברסיטת ת"א אוקטובר 2015 (נספח ד' - קובץ מצורף לקטלוג)
004940073 581   H פיינשטיין, נורית. תהודה וזהות: הספרות העברית במאה העשרים, טרום הקמת המדינה, כמבטאת הגות יהודית וכמעצבת זהות, הוצאת ספריית הלל בן חיים והקיבוץ המאוחד, ירושלים 2015
004940073 581   H גורן, יורם. שדות לבשו מחול, הוצאת קיבוץ רמת-יוחנן, 1983
004940073 581   H שלם, מתתיהו. זמרים, תל-אביב: ההסתדרות הכללית של העובדים העברים בארץ-ישראל, מרכז לתרבות ולחינוך, 1969
004940073 581   H שלם, מתתיהו. הרועה וחגו, רמת יוחנן: חמו"ל, 1979
004940073 581   H שלם, מתתיהו, רועים בגלבע: שירים, עין חרוד: הנוקד, 1950
004940073 581   H שלם, מתתיהו, שירים אחרונים, רמת יוחנן: ספרית פועלים, 1976
004940073 581   H בינג-הידקר, ליאורה, תנועה לאומית: על מחול וציונות, תל אביב: עולם חדש, 2016.
004939572 581   H גלי כנעני, גלי וגבאי, ישעיהו (עורכים). נאורה ורשבסקי: האריג הצלול (קטלוג תערוכה), תל אביב: פריסקופ - גלריה לעיצוב ונאו קראפט, 2014
004939572 581   L 
004939572 581   L 
004939572 581   L 
004939572 581   L 
004939572 581   L 
004939572 581   L 
004939572 581   L 
