911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PDaSh-021	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - טרול א', 'פר-גינט', 1971	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-022	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - טרול ב', 'פר-גינט', 1971	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-023	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - טרול ג', 'פר-גינט', 1971	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-024	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - טרול ד', 'פר-גינט', 1971	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-025	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'פר-גינט', 1971	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-026	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'מקום אחר', 1982	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-027	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורת במה - 'שירה', 1989, 1 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-028	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורת במה - 'שירה', 1989, 2 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-029	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מופע - 'שירה', 1989	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-030	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - שירה, 'שירה', 1989	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
