911##a,911##c,351##c,LDR,008,24510a,BAS##a,999##a,999##b,999##b,FMT,OWN##a,STA##a
 PShAV -001 -005 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עיתונות - 'פרשת פינדוס',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -005 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'פרשת פינדוס',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -005 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'פרשת פינדוס',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,כרזה - 'המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכניות - 'המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתב - 'המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006 -004,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,גליונות ביקורת - 'המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -006 -005,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מסמך - 'המדור המרכזי',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -007,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,נידוני אלטונה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
