911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PYoBo-001-002-014	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - יורם בוקר עם מסכה של יהודית גרינשפן	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-015	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - יורם בוקר, 1 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-016	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - יורם בוקר, 2 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-017	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - יורם בוקר, 3 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-018	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - יורם בוקר ואורי טננבאום"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-019	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 1 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-020	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 2 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-021	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 3 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-022	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 4 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-023	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 5 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-024	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 6 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-025	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 7 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-026	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומי יח""ץ - תיאטרון הפנטומימה של יורם בוקר, 8 מתוך 8"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קטעי וידאו - יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"A Video - Theatre Yoram Boker, 1 out of 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"A Video - Theatre Yoram Boker, 2 out of 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"2002 ,A Video - University"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	וידאו - ריאיונות עם יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-005	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	וידאו - מרסל מרסו באוניברסיטת תל אביב	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-006	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	וידאו - שיעור תנועה של מרסל מרסו	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-007	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	וידאו - 'הצגת פנטומימה לילדים' בטלוויזיה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-003-008	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	וידאו - שילוב של יצירות פנטומימה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-004	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"עלונים, כרזות ותכניות - יורם בוקר"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-004-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	A Poster - `Boker Mime Theatre`	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-004-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניות ועלונים - 'תיאטרון הפנטומימה של יורם בוקר' 	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-004-006	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	פרסומת בכיכובו של יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-005	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תעודות ומסמכים - יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-005-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מאמר על יצירתו של יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-005-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מסמכים - 'תיאטרון הפנטומימה של יורם בוקר'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-005-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מכתבים - יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-005-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תעודות - יורם בוקר 	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002	יורם בוקר	Fonds Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	הפקות בהשתתפות יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-001	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'תעלולי נאסר א דין'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-001-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניה - 'תעלולי נאסר א דין'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-001-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'תעלולי נאסר א דין'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-002	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'כנר על הגג'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-002-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - 'כנר על הגג'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-002-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'כנר על הגג'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-003	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'בכלוב האהבה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-003-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניה  - 'בכלוב האהבה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-003-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות -'בכלוב האהבה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קרוסל'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניה ומודעה - 'קרוסל'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
