	911##a	911##c	351##c	Parent	LDR	008	24500a	BAS##a	999##a	999##b	999##b	FMT	OWN##a
ArGeZi-001-013-019	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-020	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-021	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-022	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-023	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-024	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-025	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-026	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-027	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-028	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-029	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-030	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-031	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-032	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-033	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-034	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-035	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-036	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-037	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט אדריכלי בקנה מידה 1:200 של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-038	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-014	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בניין מדרשת פיינברג להוראת המדעים, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-014-001	אוסף גרשון ציפור	פריט	ArGeZi-001-014	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות בניין מדרשת פיינברג להוראת המדעים, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-015	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בניין פרלמן למדעי הכימיה, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-015-001	אוסף גרשון ציפור	פריט	ArGeZi-001-015	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות בניין פרלמן למדעי הכימיה, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-015-002	אוסף גרשון ציפור	פריט	ArGeZi-001-015	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישום פרספקטיבי של בניין פרלמן למדעי הכימיה, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-016	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בניין להוראת המדעים ע""ש סידני מאושר, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-016-001	אוסף גרשון ציפור	פריט	ArGeZi-001-016	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום בניין להוראת המדעים ע""ש סידני מאושר, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-017	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בניין אריסון לנוירוביולוגיה, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-017-001	אוסף גרשון ציפור	פריט	ArGeZi-001-017	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תוכנית אדריכלית ללא קנה מידה של בניין אריסון לנוירוביולוגיה, קמפוס מכון ויצמן למדע, רחובות"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-001	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישום אדריכלי של בית הספר לאחיות במרכז לבריאות הנפש בבאר שבע	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-002	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל בי""ס לאחיות בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-003	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל בי""ס לאחיות בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-004	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-005	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-006	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-007	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-008	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-009	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-010	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מבט על בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-011	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מבט על בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-012	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-013	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-014	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-015	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-016	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-017	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-018	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-019	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-020	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-021	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-022	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-023	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני בקנה מידה 1:200 של מודל ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-024	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל מבנה בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-025	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אלכסוני ללא קנה מידה של מודל מבנה בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-026	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום אויר של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-027	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מבט על אלכסוני של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-028	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ של בי""ס לאחיות בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-029	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-030	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-031	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-032	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום פנים של מבנה בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-033	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום פנים של מבנה בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-034	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום פנים של מבנה בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-035	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ של בי""ס לאחיות בעת בנייתו בביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-036	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-037	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-038	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-039	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-040	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-041	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-042	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-018-043	אוסף גרשון ציפור	פריט	ArGeZi-001-018	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום חוץ בעת הבנייה של ביה""ח הפסיכיאטרי, המרכז לבריאות הנפש בבאר שבע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
